bnf_code,name,items,net_cost
21300000108,Hyabak Sod Hyaluronate Eye Dps 10ml P/F,15528,162125.09
21300000401,Liquifilm 1.4% Polyvinyl Alcohol Eye Dps 15ml,11656,29085.1
21300000711,Xailin Night Paraf Eye Oint P/F 5g,43421,156743.4
23150901504,CliniMed_Appeel No Sting Medical Adh Remover A/Spy 50ml,6317,183511.12
1203010E0AAABAB,Benzydamine HCl_Spy 0.15% 30ml S/F,21406,67182.84
21300000124,Carmize 0.5% Carmellose Eye Dps 10ml,3238,31323.18
21300000123,Alissa Carmellose 0.5% Eye Dps 10ml,5889,58736.58
0301020S0BBAAAA,Seebri_Breezhaler Inh Cap 55mcg + Dev,29304,921215.28
23153931500,Rhodes_StoCare Remove Medic Adh Remover Spy 50ml,4785,71899.8
1202020P0AAACAC,Xylomet HCl_Nsl Spy 0.1% 10ml,1790,5290.86
21020001195,Coloplast SpeediCath Compact Plus Fle 10-14 (30-Pack) Cath,2755,610643.9
21020000880,Coloplast SpeediCath Male Size 10-14 (30-Pack) Cath,4260,780975.01
20100000537,Clinipore 2.5cm x 5m Surg Adh Tape Perm Non-Wov Syn,2605,4324.2
21020000877,Coloplast SpeediCath Male Size 16-18 (30-Pack) Cath,851,80526.14
21400000102,Octenisan md Nsl Gel 6ml,152,688.08
20090000451,Unspecified Stkntte 6.25cm x 0.5m Elasctd Tublr Band,65,60.32
21300000113,Hylo-Fresh Sod Hyaluronate Eye Dps P/F 10ml,2483,14701.5
0704050B0BCAFBF,Viridal Duo_Cont Pack Inj 40mcg Cart,592,38652.4
23803068001,Medicareplus_Medi Derma-S Barrier Crm 90g,26603,188496.0
23154101508,Salts_Adh Remover Spy 50ml,8466,166956.54
23453364508,Opus_NaturCare Breeze Deod A/Spy 50ml,114,1325.28
20090000485,Comfifast 10.75cm x 1m (Yellow)Stkntte Elasctd Viscose Tublr,881,2862.0
21220000131,Dermatonics Dry Skin Balm 200ml,206,1253.5
1304000F0BEAABF,Bettamousse_Foam Aero 0.1% 100g,120,1345.5
21020001481,Coloplast SpeediCath Flex Male Size 10-16 (30-Pack) Cath,2636,449065.0
23453374525,Respond_Neutralise Clean Fresh Gardenia Dps 50ml,228,2078.15
21020001526,Hollister Infyna Chic Hydro Intermit NelatonFle8-14(30-Pack),386,59421.6
23801008016,Coloplast_Brava Ostomy Pdr,1221,4161.95
21020000240,Rusch PVC Riplex Jaques Male Nelaton 8-16 Cath (5-Pack),455,56572.89
20100000731,Transpore 2.5cm x 5m Surg Adh Tape Perm Non-Wov Syn,649,1917.8
21220000110,Emollin Emollient Aero 240ml,1827,18352.08
21020001184,Coloplast SpeediCath Compact Set Male Size12/18(20-Pack)Cath,498,127960.6
21020001404,WyCath Hydrophilic Meatal DilatorTaperedTip8-18(30-Pack)Cath,334,16281.0
20030300035,Activon Medic Grade Manuka 25g Wound Dress H/Base Top Applic,811,6589.83
1310020A0BCAAAC,Loceryl Curanail_Medic Nail Lacquer 3ml,71,1009.42
21020001227,B.Braun Actreen Hi-Lite Tiemann Nelaton 8-16 (30-Pack) Cath,361,55068.5
20090000510,Tubifast 2-Way Stch 5cm x 1m (Green) Stkntte Elasctd Viscose,46,173.25
21020001365,OptiSmooth Mitro 40cm 8-18 (60-Pack) Cath,93,24652.8
21020001517,Prosys SensaCath Hydro Intermit Fle 10-16 (30-Pack) Cath,7,337.5
21020001300,Peak UltraSmooth Meatal Dilator Size 8-18 (25-Pack) Cath,222,9775.48
20090000530,Tubifast 2-Way Stch 10.75cm x 1m YellowStkntteElasctdViscose,213,954.0
21020001451,SafetyCat Active Nelaton Male TiemannTip 12-16(30-Pack) Cath,9,1551.0
21020000884,Coloplast SpeediCath Tiemann Size 10-16 (30-Pack) Cath,239,38288.94
21020001097,Hunter HunterCath Paed Size 6-10 (30-Pack) Cath,27,4475.7
21220000262,AproDerm Gel 100g,236,967.14
21020001398,WyCath H2O Nelaton Tapered Tip Male 40cm 10-18 (30-Pack)Cath,7,478.5
21220000306,Epimax Paraffin-Free Crm 500g,85,363.09
21020000874,Coloplast Self-Cath Nelaton Male Size 8-16 (30-Pack),190,24212.1
21020001310,Bullen Hi-Slip Plus Hydro Nelaton Male 8-24 (30-Pack) Cath,227,21819.49
20030500051,Purilon Gel 8g Wound Dress H/Gel Ster,101,1341.21
21020000324,Smooth Fle Nelaton Size 8-14 (30-Pack) Cath,4,1205.4
20030300027,L-Mesitran SOFT 15g Wound Dress H/Base Top Applic,17,314.94
21020000825,Hollister InstantCath Male Size 10-16 (25-Pack) Cath,124,27496.0
20030300020,Medihoney A-Bact Honey 20g Wound Dress H/Base Top Applic,67,690.27
0904010X0BGAAAA,Juvela_L/P Bread Roll,45,1021.52
1310020H0BBACAE,Canesten_Dermat Spy 1% 40ml,28,174.64
21020001523,ConvaTec GC GlideHydroNelatonTiemannTipSize8-18(30-Pack)Cath,3,525.0
21020001341,Teleflex Liquick Base Fle 6-14 (60-Pack) Cath,36,6721.26
1202020P0BBAHAC,Otrivine_Adult Sinusitis Spy 0.1% 10ml,16,62.88
21020001185,Coloplast SpeediCath Fle Size 8 (30-Pack) Cath,48,6106.03
20100000749,Hypafix gentle touch 15cm x 5m Surg Adh Tape Soft Slc Fix,12,282.24
1914010A0BLAAAS,Nutrison Pack_Ster Water 1L,89,3587.88
21240000165,GeloSitin Nsl Spy 15ml,15,94.5
20100000617,Zn Ox 5cm x 5m Surg Adh Tape,18,75.11
20090000473,easiGRIP 10cm x 0.5m Stkntte Elasctd Tublr Band,2,1.5
0704010T0BBAEAE,Hytrin BPH_S/Pack (1mg/2mg/5mg) Tab,3,43.88
1311070S0BDACAA,BioBag_200 Dress Kit 5cm x 6cm,7,1842.05
21200000013,Jobst UlcerCARE XXX Exlge Compress Liner,13,332.69
21220000289,Exmalatum Crm 500g,2,8.9
21020000925,Hunter Aloe Orig Male 10-18 (30-Pack) Cath,10,2726.4
20090000773,Eesiban ESTS 10cm x 0.5m Stkntte Elasctd Tublr Band,3,3.15
21020001397,WyCath H2O Nelaton Soft Tip Paed 30cm 8-10 (30-Pack) Cath,5,1268.4
20100000706,Insil 4cm x 1.5m Surg Adh Tape Soft Slc Fixation,7,75.01
20100000643,Blue Dot Retention S/Cloth SurgTape 10cmx10m Perm Non-WovSyn,1,1.9
21020000325,Smooth Paed Nelaton Size 6-10 (30-Pack) Cath,3,309.96
21020001389,WyCath Uncoated Nelaton+Tapered Tip Fle 8-12 (30-Pack) Cath,1,42.0
20030300051,MANUKApli Wound Dress H/Base Top Applic,1,5.9
21020001321,Bullen Hi-Slip Kit Nelaton Fle 8-16 (20-Pack) Cath,6,322.1
21220000246,Soffen Crm 500g,1,4.79
1501030D0AABDBD,Atrop Sulf_Inj 300mcg/ml 10ml Pfs,2,3265.92
20090000805,Coverflex 5cm x 1m (Green) Stkntte Elasctd Viscose Tublr,1,2.61
21020001063,Rusch Flocath quick Nelaton Fle 16-20 (30-Pack) Cath,1,37.35
20090001251,Flexifast 10.75cm x 1m (Yellow)Stkntte Elasctd Viscose Tublr,1,5.4
20090000650,Ribbed Cott 20cm x 5m Stkntte Tublr,2,14.44
21300000178,Evolve HA Sod Hyaluronate 0.2% Eye Dps 10ml P/F,12744,95953.81
21020001197,Coloplast SpeediCath Compact Eve Fle 10-14 (30-Pack) Cath,1557,326851.2
0604011G0BIABAU,Oestrogel_Gel 0.06% 80g (64 Applic),13937,117907.2
21300000704,Xailin Carbomer Eye Gel 10g,9070,36820.44
21300000171,Xailin HA Sod Hyaluronate 0.2% Eye Dps 10ml,5833,55705.98
21320000103,Resp-Ease Sod Chlor 7% Inh Soln 4ml,829,18648.36
23803068008,Medicareplus_Medi Derma-S N/Sting Medic B/Film P/Spy 30ml,2809,22427.2
21220000276,Zeroveen Crm 100g,1813,9292.16
21012500106,Alissa Olive Oil Ear Dps Ear Wax Softening Medical Dev 10ml,3402,5467.0
090402000BBQCA0,Fortisip Range_S/Pack,825,34865.2
21012500102,Arjun Olive Oil Ear Dps Ear Wax Softening Medical Dev 10ml,3580,4965.66
1310020H0AAAEAE,Clotrimazole_Spy 1% 40ml,547,2879.2
20090000457,Unspecified Stkntte 8.75cm x 0.5m Elasctd Tublr Band,96,120.7
23801008027,Coloplast_Brava Skin Barrier Spy 50ml,1122,22191.72
1203040E0AAAEAE,Chlorhex Glucon_Spy 0.2% 60ml S/F,443,1964.52
23800908018,CliniMed_LBF Ster No Sting Barrier Film Spy 30ml,255,2729.52
23803938000,Rhodes_StoCare Protect No-Sting Prote Barrier Film Spy 50ml,209,3412.8
20090000453,Unspecified Stkntte 6.75cm x 0.5m Elasctd Tublr Band,64,52.7
23453374522,Respond_Neutralise Mint P/Spy 50ml,122,809.84
21300000154,PF Drops 1% Carmellose Eye Dps 10ml,930,9662.1
21200000012,Jobst UlcerCARE XX Exlge Compress Liner,20,587.1
21200000045,Activa Leg Ulcer Hose Kit Sml O/T Compress Liner Pack,133,3165.9
21200000011,Jobst UlcerCARE Ex Exlge Compress Liner,25,645.81
21190000002,Gengigel Gel 20ml,109,710.4
20100000590,Hypafix 2.5cm x 10m Surg Adh Tape Perm Non-Wov Syn,276,712.76
20100000734,Chemifix 5cm x 5m Surg Adh Tape Perm Non-Wov Syn,67,150.0
20100000707,Siltape 2cm x 3m Surg Adh Tape Soft Slc Fixation,102,1027.8
1502010J0BUAABY,Denela_Crm 5%,138,3295.18
21020001154,Hollister VaPro Plus Fle 20cm 12-14ml (30-Pack) Cath,92,30549.46
190205500BCMIA0,Senset_Skin Cleansing Foam Aero 150ml,253,341.88
20030500046,Prontosan Wound Gel X 250g Wound Dress H/Gel Ster,72,2856.9
20100000733,Chemifix 2.5cm x 5m Surg Adh Tape Perm Non-Wov Syn,25,29.7
21230000120,Feminesse Vag Moist 33g Tube,19,198.0
23453064500,Medicareplus_Medi Citrone Ostomy Deod A/Spy 50ml,40,446.25
21020001359,OptiSmooth MD Hydro Meatal Dilator Size 8-18 (30-Pack) Cath,11,432.0
21300000312,VIZhyal 0.1% Sod Hyaluronate Eye Dps 10ml P/F,111,729.3
21020001501,Hollister VaPro Plus F-Style Male 40cm 12-14 (30-Pack) Cath,8,2138.08
20030500083,SurgihoneyRO 20g Wound Dress H/Gel Ster,11,282.72
21020001366,OptiSmooth Mitro 50cm 8-18 (60-Pack) Cath,5,1075.2
20100000546,Mediplast 1.25cm x 5m Surg Adh Tape Perm Non-Wov Syn,1,0.6
21220000244,Emelpin Oint 125g,5,24.64
20100000616,Zn Ox 2.5cm x 5m Surg Adh Tape,11,45.9
20040200310,Ribbon Gz 2.5cm x 5m Ster Absorbent Cott & Viscose,2,3.92
21300000193,Aeon Protect 0.3% Sod Hyaluronate Eye Dps 10ml,10,55.2
1311070S0BBAWAA,Larvae_100 30cm x 30cm Dressing Pack,1,158.21
20100000325,Blue Dot 2.5cm x 5m Surg Adh Tape Imperm Plas Syn,2,0.76
20100000721,OpSite Flexifix Gentle 2.5cm x 5m Surg Adh Tape Soft Slc Fix,6,74.2
21020001457,WyCath H2ONelatonEyelets+SoftTip Male 40cm10-16(30-Pack)Cath,3,135.9
21270000119,Jobst Elvarex Acc For L/Extrem 2 Ankle Pads,10,352.32
21020001514,Peak UltraSmooth Aqua Hydro Nelaton Fle 8-18 (30-Pack) Cath,4,744.0
21020001465,Pioneer mtg Cath-Lean Intermit Fle 12-14 (25-Pack) Cath,3,779.13
20040200100,Absorbent Cott Gz 90cm x 1m Ster,3,120.36
21020001500,Hunter Aloe Hydro Plus Paed Size 6-10 (30-Pack) Cath,3,533.5
20100000725,Primafix 5cm x 10m Surg Adh Tape Perm Non-Wov Syn,1,1.65
21200000134,Clini Duo40 Ex Exlge Compress Liner Pack,1,41.8
1310020N0BBAGAE,Daktarin Aktiv_Pdr Spy 0.16% 100g,192,787.71
1312000C0AAAWAW,Alum Chlor_Spy 20% 30ml,374,3237.96
21300000149,Carmize 1% Carmellose Eye Dps 10ml,465,4941.18
21020001149,Hollister VaPro Pocket Hydro Male 40cm 10-16 (30-Pack) Cath,2210,393628.73
1202010A0AAABAB,Azelastine HCl_Aq Nsl Spy 140mcg (136 D),2972,34786.5
23801008004,Coloplast_Brava Strip Paste,250,5517.55
